CODE1;X_COORD;Y_COORD;SITE;DESCRIPTIO;KIND;PERFECTURE;D_D
64;609421;3909420;ΣΠΗΛΑΙΟ ΕΙΛΕΙΘΥΙΑΣ;ΣΠΗΛΑΙΟ ΕΙΛΕΙΘΥΙΑΣ;Αρχαίος Ναός;ΗΡΑΚΛΕΙΟΥ;ΓΟΥΒΩΝ
65;609419;3910270;ΑΜΝΙΣΟΣ;ΙΕΡΟ ΔΙΟΣ ΘΕΝΑΤΑ ΑΜΝΙΣΣΟΥ;Αρχαίος Ναός;ΗΡΑΚΛΕΙΟΥ;ΓΟΥΒΩΝ
75;562401;3883710;ΑΓΙΑ ΓΑΛΗΝΗ;ΙΕΡΟ ΤΗΣ ΑΡΤΕΜΗΣ-ΑΓΙΑ ΓΑΛΗΝΗ;Αρχαίος Ναός;ΡΕΘΥΜΝΟΥ;ΛΑΜΠΗΣ
80;480594;3899760;ΛΙΣΣΟΣ;ΝΑΟΣ ΑΣΚΛΗΠΕΙΟΥ ΚΑΙ ΥΓΕΙΑΣ ΛΙΣΣΟΥ;Αρχαίος Ναός;ΧΑΝΙΩΝ;ΑΝΑΤΟΛΙΚΟΥ ΣΕΛΙΝΟΥ
154;586574;3879700;ΓΟΡΤΥΣ;ΝΑΟΣ ΠΥΘΙΟΥ ΑΠΟΛΛΩΝΑ-ΓΟΡΤΥΝΑ;Αρχαίος Ναός;ΗΡΑΚΛΕΙΟΥ;ΓΟΡΤΥΝΑΣ
160;635341;3879660;ΣΥΜΗ ΒΙΑΝΝΟΥ;ΙΕΡΟ ΤΟΥ ΕΡΜΗ ΚΑΙ ΤΗΣ ΑΦΡΟΔΙΤΗΣ ΚΑΤΩ ΣΥΜΗΣ ΒΙΑΝΝΟΥ;Αρχαίος Ναός;ΗΡΑΚΛΕΙΟΥ;ΒΙΑΝΝΟΥ
175;605175;3906650;ΕΛΛΗΝΙΚΑ ΚΝΩΣΣΟΥ;ΚΛΑΣΙΚΟ ΙΕΡΟ ΗΡΑΚΛΗ ΚΑΙ ΕΥΡΥΣΘΕΑ-ΚΝΩΣΣΟΣ;Αρχαίος Ναός;ΗΡΑΚΛΕΙΟΥ;ΗΡΑΚΛΕΙΟΥ
179;605237;3906350;ΚΕΦΑΛΑ ΚΝΩΣΣΟΥ;ΕΛΛΗΝΙΣΤΙΚΟ ΙΕΡΟ ΓΛΑΥΚΟΥ ΚΝΩΣΣΟΥ;Αρχαίος Ναός;ΗΡΑΚΛΕΙΟΥ;ΗΡΑΚΛΕΙΟΥ
