CODE1;	X_COORD;	Y_COORD	;SITE;	DESCRIPTION;	KIND;	PERFECTURE	;D_D;	Latitude ;	Longitude  ;
63;	635917;3906930;ΑΓΙΑ ΒΑΡΒΑΡΑ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΜΑΛΙΩΝ;	Ανάκτορο;	ΛΑΣΙΘΙΟΥ;	ΝΕΑΠΟΛΗΣ;	35.293048;	25.492892
69;705869;3885920;ΚΑΤΩ ΖΑΚΡΟΣ;ΑΝΑΚΤΟΡΟ ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΖΑΚΡΟΥ;Ανάκτορο;ΛΑΣΙΘΙΟΥ;ΙΤΑΝΟΥ;	35.098235;26.261361
90;635580;3906060;ΜΑΛΙΑ	ΑΝΑΚΤΟΡΟ;ΑΡΧΑΙΟΛΟΓΙΚΟΥ ΧΩΡΟΥ ΜΑΛΙΩΝ;Ανάκτορο;ΛΑΣΙΘΙΟΥ;ΝΕΑΠΟΛΗΣ;35.293986;25.491026
127;631260;3892740;ΚΑΤΩ ΚΕΦΑΛΙ ΠΛΑΤΗΣ;ΜΙΝΩΙΚΟΣ ΟΙΚΙΣΜΟΣ ΠΛΑΤΗΣ;	Ανάκτορο;	ΛΑΣΙΘΙΟΥ;	ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ	;35.170160;25.439191
177;605206;3906590;	ΕΛΛΗΝΙΚΑ ΚΝΩΣΣΟΥ;ΑΝΑΚΤΟΡΟ ΚΝΩΣΣΟΥ;	Ανάκτορο;	ΗΡΑΚΛΕΙΟΥ;	ΗΡΑΚΛΕΙΟΥ;	35.297980;	25.163390
284;573953,47;3878808,01;ΦΑΙΣΤΟΣ	;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΦΑΙΣΤΟΥ : ΑΝΑΚΤΟΡΟ	;Ανάκτορο;	ΗΡΑΚΛΕΙΟΥ;	ΤΥΜΠΑΚΙΟΥ;	35.051284	;24.814202
